lon,lat,type,loctype,address,north,south,east,west,uniqueLocation
175.0752926,-36.1945743,establishment,approximate,"little barrier island, auckland 0920, new zealand",-36.1654652,-36.2312806,175.1141393,175.0477468,"Little Barrier Island, NZ"
143.95555,-6.314992999999999,country,approximate,papua new guinea,-0.6702,-12.0823,159.9609001,140.8419695,Papua New Guinea
152.9,-31.433333,locality,approximate,"port macquarie nsw 2444, australia",-31.4052683,-31.5171622,152.9383746,152.8490269,"Port Macquarie, NSW"
146.921099,-31.2532183,administrative_area_level_1,approximate,"new south wales, australia",-28.15702,-37.5052801,159.1054441,140.9992793,NSW
101.975766,4.210484,country,approximate,malaysia,7.819846999999999,0.461421,119.813461,99.42283599999999,Malaysia
-77.781167,21.521757,country,approximate,cuba,23.3776001,19.6529001,-73.9545,-85.1715001,Cuba
159.0821211,-31.5553263,establishment,approximate,"lord howe island, new south wales, australia",-31.5107034,-31.5979256,159.1053578,159.0369282,Lord Howe Island
133.775136,-25.274398,country,approximate,australia,-0.6911343999999999,-51.66332320000001,166.7429167,100.0911072,Australia
136.2091547,-30.0002315,administrative_area_level_1,approximate,"south australia, australia",-25.9963765,-38.1345913,141.0029556,129.00134,South Australia
165.618042,-20.904305,country,approximate,new caledonia,-19.1607355,-23.2514406,168.3325194,163.3557129,New Caledonia
150.510016,-23.3790772,locality,approximate,"rockhampton city qld 4700, australia",-23.3689069,-23.3900786,150.5206651,150.499348,Rockhampton
146.921099,-31.2532183,administrative_area_level_1,approximate,"new south wales, australia",-28.15702,-37.5052801,159.1054441,140.9992793,New South Wales
114.9279584,-29.2644107,locality,approximate,"port denison wa 6525, australia",-29.25232,-29.3164203,114.9573752,114.9137705,Port Denison
150.5820676,-27.5299906,colloquial_area,approximate,"darling downs, qld, australia",-25.5988303,-29.17866339999999,152.4926366,148.9195866,Darling Downs
151.1187,-33.7183,locality,approximate,"wahroonga nsw 2076, australia",-33.7011438,-33.7458628,151.1444889,151.0897837,Wahroonga
141.3470159,-5.0122202,establishment,approximate,new guinea,-0.347086,-10.702219,150.8763449,130.931561,New Guinea
142.5166667,-10.7,establishment,approximate,"cape york, somerset qld 4876, australia",-10.6890358,-10.7109638,142.5326741,142.5006593,Cape York
